date,match_id,season,team1_id,team2_id,team_id,venue_id,player_id,playing_xi_flag
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,1,1.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,2,0.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,3,0.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,4,0.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,5,0.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,6,1.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,7,0.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,8,0.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,9,0.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,10,0.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,11,0.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,12,1.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,13,0.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,14,1.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,15,0.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,16,1.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,17,1.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,18,1.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,19,1.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,20,0.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,21,0.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,22,1.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,23,1.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,24,1.0
19-04-2008,2008_2,2008,CSK,KXI,CSK,9,25,0.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,1,1.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,2,0.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,3,0.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,4,0.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,5,0.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,6,1.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,7,0.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,8,0.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,9,0.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,10,0.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,11,0.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,12,1.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,13,0.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,14,1.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,15,0.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,16,1.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,17,1.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,18,1.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,19,1.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,20,0.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,21,0.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,22,1.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,23,1.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,24,1.0
23-04-2008,2008_8,2008,CSK,MI,CSK,5,25,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,1,1.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,2,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,3,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,4,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,5,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,6,1.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,7,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,8,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,9,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,10,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,11,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,12,1.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,13,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,14,1.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,15,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,16,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,17,1.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,18,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,19,1.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,20,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,21,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,22,1.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,23,1.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,24,0.0
26-04-2008,2008_12,2008,KKR,CSK,CSK,5,25,0.0
28-04-2008,2008_15,2008,CSK,RCB,CSK,7,1,1.0
28-04-2008,2008_15,2008,CSK,RCB,CSK,7,2,0.0
28-04-2008,2008_15,2008,CSK,RCB,CSK,7,3,0.0
28-04-2008,2008_15,2008,CSK,RCB,CSK,7,4,0.0
28-04-2008,2008_15,2008,CSK,RCB,CSK,7,5,0.0
28-04-2008,2008_15,2008,CSK,RCB,CSK,7,6,1.0
